item_seq,product_name,search_name,ingredients,maker,image,interaction_text
201705576,스토마제정,스토마제,,한국신텍스제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1M_kb4Aa6Kr,이 약을 복용하기 전에 다른 약물을 복용하고 있는 경우 의사 또는 약사와 상의하십시오.
201705636,일성아세트아미노펜정325밀리그램,일성아세트아미노펜,,일성아이에스(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151922356075000155,"아세트아미노펜을 포함하는 다른 제품, 다른 소염진통제, 바르비탈계 약물, 삼환계 항우울제, 알코올, 플루클록사실린과 함께 복용하지 마십시오. 이 약을 복용하기 전에 와파린, 리튬, 티아지드계 이뇨제와 함께 복용 시 의사 또는 약사와 상의하십시오."
201705734,푸레파인연고,푸레파인,,일동제약(주),,"이 약을 사용하는 동안 dl-메틸에페드린염산염, 스코폴리아 엑스 및 글리시리진산 함유 좌제 또는 연고제, 크림제, 혈압강하제, 항우울약을 사용하지 복용(사용)하지 마십시오."
201705676,벤포벨브이정,벤포벨브이,,(주)종근당,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Pvn3im1ywi,"인산염, 칼슘염, 경구용 테트라사이클린계 제제, 제산제, 레보도파와 함께 복용하지 마십시오. 에스트로겐을 포함한 경구용 피임제, 항알도스테론제, 트리암테렌과 함께 복용 시 의사 또는 약사와 상의하십시오. 녹차, 홍차 등 탄닌을 함유하는 차는 복용 중, 복용 전후에는 피하십시오."
201705764,네오프라신연고,네오프라신,,(주)테라젠이텍스,,
201705788,포스톤지엑스액,포스톤지,,초당약품공업(주),,레보도파와 함께 복용하지 마십시오.
201705793,디카테오400정,디카테오400,,(주)다림바이오텍,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mva4bz2ZkF,"인산염, 칼슘염, 경구용 테트라사이클린계 제제, 제산제와 함께 복용하지 마십시오.강심배당체, 항알도스테론제, 트리암테렌과 함께 사용 시 의사 또는 약사와 상의하십시오.녹차, 홍차 등 탄닌을 함유하는 차는 복용 중, 복용 전후에는 피하십시오."
201706160,위소탈정,위소탈,,(주)에이프로젠바이오로직스,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OCxjzi8rvM,"위장진통, 진경제와 함께 복용하지 마십시오.칼륨함유제제, 감초함유제제, 글리시리진산 혹은 그 염류 함유제제, 루프계 이뇨제(푸로세미드, 에타크린산) 또는 티아지드계 이뇨제(트리클로르메치아지드)와 함께 복용 시 의사 또는 약사와 상의하십시오."
201706174,슬리온겔,슬리온,,(주)종근당,,"다른 혈액응고저지제(예, 쿠마린, 아스피린, 디피리다몰, 덱스트란, 스트렙토키나제 등)와 함께 사용 시 출혈이 증가 할 수 있으므로 의사 또는 약사와 상의하십시오."
201706199,코메키나캡슐,코메키나,,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151698121845500002,"MAO 억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등), 다른 비염용 경구제, 항히스타민제를 함유하는 내복약(감기약, 진해거담제, 멀미약, 알레르기용약 등)과 함께 복용(사용)하지 마십시오. 복용 중에는 음주하지 마십시오."
