ingredient_a,ingredient_b,severity,mechanism,advice,min_interval_hours,source
브리모니딘,셀레길린염산염,5,"교감신경흥분제의 작용 증강 또는 연장(고혈압, 빈맥 등)",,,식약처 DUR 병용금기
모클로베미드,카르바마제핀,5,"고혈압, 저혈압, 발한을 동반한 심각한 중추신경계 이상반응(현기, 진전, 발작 등)",,,식약처 DUR 병용금기
셀레길린염산염,카르바마제핀,5,"고혈압, 저혈압, 발한을 동반한 심각한 중추신경계 이상반응(현기, 진전, 발작 등)",,,식약처 DUR 병용금기
보리코나졸,카르바마제핀,5,혈중농도가 저하되어 보리코나졸의 약물효과 감소,,,식약처 DUR 병용금기
모클로베미드,시탈로프람,5,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
모클로베미드,클로미프라민,5,"근독성, 간질, 세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
디히드로에르고타민,에파비렌즈,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
디히드로에르고타민,에리트로마이신,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
디히드로에르고타민,인디나빌,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
디히드로에르고타민,이트라코나졸,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
넬피나비어,디히드로에르고타민,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
디히드로에르고타민,리토나비르,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
디히드로에르고타민,보리코나졸,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
디히드로에르고타민,졸미트립탄,5,"상가적인 혈관수축반응, 현저한 혈압상승",,,식약처 DUR 병용금기
독세핀,모클로베미드,5,"근독성, 간질, 세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
독세핀,셀레길린염산염,5,"근독성, 간질, 세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",,,식약처 DUR 병용금기
미다졸람,에파비렌즈,5,과도한 진정작용,,,식약처 DUR 병용금기
보리코나졸,에파비렌즈,5,"현저하게 voriconazole 혈장농도 감소, efavirenz 혈장농도 증가",,,식약처 DUR 병용금기
에르고타민,인디나빌,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
에르고타민,이트라코나졸,5,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",,,식약처 DUR 병용금기
